Nombre_CL,sciName,speciesCode,comName_en
Pato negro,Netta peposaca,robpoc1,Rosy-billed Pochard
Bandurrilla de los bosques,Upucerthia saturatior,pafear1,Patagonian Forest Earthcreeper
Halcón perdiguero,Falco femoralis,aplfal,Aplomado Falcon
Churrete patagónico,Cinclodes patagonicus,dabcin1,Dark-bellied Cinclodes
Perdicita chica,Thinocorus rumicivorus,leasee1,Least Seedsnipe
Becacina común,Gallinago magellanica,soasni3,Magellanic Snipe
Tagua chica,Fulica leucoptera,whwcoo1,White-winged Coot
Colilarga,Sylviorthorhynchus desmursii,demwir1,Des Murs's Wiretail
Chercán de las vegas,Cistothorus platensis,sedwre,Grass Wren
Bailarín chico común,Anthus correndera,corpip1,Correndera Pipit
Caiquén,Chloephaga picta,uplgoo1,Upland Goose
Pato juarjual,Lophonetta specularioides,creduc1,Crested Duck
Minero cordillerano,Geositta rufipennis,rubmin1,Rufous-banded Miner
Mero gaucho,Agriornis montanus,bkbsht1,Black-billed Shrike-Tyrant
Blanquillo,Podiceps occipitalis,silgre1,Silvery Grebe
Gaviotín monja,Larosterna inca,incter1,Inca Tern
Lile,Poikilocarbo gaimardi,relcor1,Red-legged Cormorant
Halcón peregrino,Falco peregrinus,perfal,Peregrine Falcon
Churrete chico,Cinclodes oustaleti,gyfcin1,Gray-flanked Cinclodes
Picaflor del norte,Rhodopis vesper,oashum1,Oasis Hummingbird
Huairavillo,Botaurus involucris,stbbit1,Stripe-backed Bittern
Garza azul,Egretta caerulea,libher,Little Blue Heron
Bandurrilla común,Upucerthia dumetaria,sctear1,Scale-throated Earthcreeper
Quetru volador,Tachyeres patachonicus,flystd1,Flying Steamer-Duck
Zarapito de pico recto,Limosa haemastica,hudgod,Hudsonian Godwit
Pitotoy chico,Tringa flavipes,lesyel,Lesser Yellowlegs
Picaflor cordillerano,Oreotrochilus leucopleurus,whshil1,White-sided Hillstar
Playero vuelvepiedras,Arenaria interpres,rudtur,Ruddy Turnstone
Aguilucho de cola rojiza,Buteo ventralis,ruthaw1,Rufous-tailed Hawk
Gaviota de Franklin,Leucophaeus pipixcan,fragul,Franklin's Gull
Gaviota austral,Leucophaeus scoresbii,dolgul2,Dolphin Gull
Petrel gigante antártico,Macronectes giganteus,angpet1,Southern Giant-Petrel
Petrel plateado austral,Fulmarus glacialoides,souful1,Southern Fulmar
Cormorán imperial,Leucocarbo atriceps,impcor6,Imperial Cormorant
Hued-hued castaño,Pteroptochos castaneus,cthhue1,Chestnut-throated Huet-huet
Fardela negra,Ardenna grisea,sooshe,Sooty Shearwater
Pájaro plomo,Geospizopsis unicolor,plsfin1,Plumbeous Sierra Finch
Pato rana de pico delgado,Oxyura vittata,lakduc1,Lake Duck
Tapaculo,Scelorchilus albicollis,whttap1,White-throated Tapaculo
Flamenco chileno,Phoenicopterus chilensis,chifla1,Chilean Flamingo
Churrín del norte,Scytalopus fuscus,dustap1,Dusky Tapaculo
Playero de las rompientes,Calidris virgata,surfbi,Surfbird
Playero de Baird,Calidris bairdii,baisan,Baird's Sandpiper
Canastero del sur,Asthenes anthoides,auscan1,Austral Canastero
Tenca de alas blancas,Mimus triurus,whbmoc1,White-banded Mockingbird
Tagua andina,Fulica ardesiaca,slccoo1,Slate-colored Coot
Dormilona chica,Muscisaxicola maculirostris,sbgtyr1,Spot-billed Ground-Tyrant
Fío-fío,Elaenia albiceps,whcela1,White-crested Elaenia
Picaflor gigante,Patagona gigas,giahum1,Giant Hummingbird
Pato capuchino,Spatula versicolor,siltea1,Silver Teal
Concón,Strix rufipes,rulowl1,Rufous-legged Owl
